time_step,timestamp,robot_x,robot_y,orientation_rad,speed,packages_delivered,battery_level_percent,power_consumption_step,motor_currents,wheel_speeds,robot_temperature_C,fault_code,error_log,station_inventory,warehouse_temperature_C,warehouse_humidity_percent,obstacle_event,item_metadata,mission_queue_length,current_delivery_time_sec,lidar_data,camera_feed,imu_accel,imu_gyro,idle_time_step,throughput_packages_per_hour,energy_efficiency_m_per_wh
10,2025-02-26T23:45:23.757082,4.0,2.0,-1.1071487177940904,1.2140312980255523,1,99.76797594824389,0.10607015649012777,"[1.730661887929573, 1.6015937365192312]","[1.1409942658685865, 1.1659525770266579]",30.179521031856765,,,"{0: 4, 1: 13, 2: 3, 3: 10, 4: 4, 5: 11, 6: 10, 7: 10, 8: 12, 9: 12, 10: 11, 11: 8}",22.77945965205206,52.39271173054345,False,"{'item_id': 'C123', 'weight': 0.8, 'size': 'small'}",9,0.0,"[8.874412590439553, 9.491267521814224, 9.58115434752127, 2.4368788569809996, 4.054880699753487]",frame_10.jpg,"(0.09589966938600239, -0.024662906331344894, 9.8)","(-0.009015485139538489, -0.00276120955465446, 0.0)",0.0,0.0,9.306527658334511
11,2025-02-26T23:45:23.757082,3.9058059262044678,2.941940737955323,1.6704649792860586,0.9466387258917821,1,99.747029309518,0.1047331936294589,"[1.1009727375187972, 1.0679629043479175]","[0.9388062225786068, 1.0293438921061668]",30.203263848329634,,,"{0: 4, 1: 13, 2: 3, 3: 10, 4: 4, 5: 11, 6: 10, 7: 10, 8: 12, 9: 12, 10: 11, 11: 8}",22.077515664925745,48.679459065779994,False,"{'item_id': 'C123', 'weight': 0.8, 'size': 'small'}",9,0.0,"[2.8685701674133357, 8.213059788162237, 9.285697514389069, 4.952781011429957, 6.414091437085535]",frame_11.jpg,"(-0.06224432134289015, 0.024210064751075525, 9.8)","(0.0005924472686956103, -0.004784922128278259, 0.0)",0.0,0.0,9.284340394416303
12,2025-02-26T23:45:23.757082,3.845783741380164,3.542162586198361,1.6704649792860586,0.603215491992183,1,99.72642609402601,0.10301607745996091,"[1.165222463817768, 1.17845047844467]","[0.6366206442551382, 0.681442754984659]",30.222039550024466,F002,Motor stall detected,"{0: 4, 1: 13, 2: 3, 3: 10, 4: 4, 5: 11, 6: 10, 7: 10, 8: 12, 9: 12, 10: 11, 11: 8}",15.6902909592404,43.614771712115186,False,"{'item_id': 'C123', 'weight': 0.8, 'size': 'small'}",9,0.0,"[5.335489915169203, 9.310965956940345, 2.4540969703678392, 4.972871030543823, 8.974381729271748]",frame_12.jpg,"(0.07083013379678024, 0.06983370904014377, 9.8)","(-0.007803922517114794, 0.0022428844675908607, 0.0)",0.0,0.0,9.026113400152308
13,2025-02-26T23:45:23.757082,3.7702849930403652,4.297150069596347,1.6704649792860586,0.7587530303652825,1,99.70566734099565,0.10379376515182642,"[1.0264155461682518, 0.6823183818758323]","[0.8216216009819804, 0.6680338369017041]",30.243640430279022,,,"{0: 4, 1: 13, 2: 3, 3: 10, 4: 4, 5: 11, 6: 10, 7: 10, 8: 12, 9: 12, 10: 11, 11: 8}",16.141765238676097,30.54061883787215,False,"{'item_id': 'C123', 'weight': 0.8, 'size': 'small'}",9,0.0,"[8.740387421386266, 7.485769890754882, 5.495906660122164, 8.591722109327636, 6.865225689193208]",frame_13.jpg,"(-0.08594673726133213, 0.027636561131097748, 9.8)","(0.006210197012580023, -0.007778879980820706, 0.0)",0.0,0.0,8.905093011367503
14,2025-02-26T23:45:23.757082,3.711748663343076,4.882513366569237,1.6704649792860586,0.5882828327746796,1,99.68507905816287,0.1029414141638734,"[0.7839555071583705, 0.7827967491660611]","[0.6484788498674675, 0.5862701450424124]",30.249834166435907,,,"{0: 4, 1: 13, 2: 3, 3: 10, 4: 4, 5: 11, 6: 10, 7: 10, 8: 12, 9: 12, 10: 11, 11: 8}",17.447183775902296,35.91744968730961,False,"{'item_id': 'C123', 'weight': 0.8, 'size': 'small'}",9,0.0,"[6.628248490447362, 2.534619537108717, 5.822545290118327, 2.8190784931956667, 3.9995344010243326]",frame_14.jpg,"(0.0995130593594257, 0.02612646812853353, 9.8)","(0.0018047930426716482, -0.004217051682417967, 0.0)",0.0,0.0,8.696520006879194
15,2025-02-26T23:45:23.757082,3.6226479537489427,5.77352046251057,1.6704649792860586,0.8954510491746523,1,99.6641836071137,0.10447725524587326,"[1.5322398149035714, 1.443682993071834]","[0.9551065724150949, 0.9608183515696476]",30.26258249180828,,,"{0: 4, 1: 13, 2: 3, 3: 10, 4: 4, 5: 11, 6: 10, 7: 10, 8: 12, 9: 12, 10: 11, 11: 8}",22.864239711722956,46.95760204762958,False,"{'item_id': 'C123', 'weight': 0.8, 'size': 'small'}",9,0.0,"[4.8226119337510305, 2.739361885681096, 7.444195217826301, 4.136600557478768, 0.45549743833672385]",frame_15.jpg,"(0.016516683840862398, -0.060421622249448276, 9.8)","(0.007718318628705005, 0.003337304826987096, 0.0)",0.0,0.0,8.688695796022783
16,2025-02-26T23:45:23.757082,3.4638078447340357,7.3619215526596395,1.6704649792860586,1.5963233392450984,1,99.64258728377446,0.1079816166962255,"[2.1214066588599625, 2.7736536412734694]","[1.6602002233582684, 1.6149158213417332]",30.276041400951602,,,"{0: 4, 1: 13, 2: 3, 3: 10, 4: 4, 5: 11, 6: 10, 7: 10, 8: 12, 9: 12, 10: 11, 11: 8}",16.3647060397866,39.73141409301991,False,"{'item_id': 'C123', 'weight': 0.8, 'size': 'small'}",9,0.0,"[7.575484788296627, 6.427188964485749, 2.3113695412564317, 5.034218199049069, 3.9417502985073494]",frame_16.jpg,"(-0.0285982984159094, 0.04830219796500548, 9.8)","(0.0039949792733980916, -0.001109481717398459, 0.0)",0.0,0.0,9.056955732131778
17,2025-02-26T23:45:23.757082,3.3311852512963425,8.688147487036575,1.6704649792860586,1.3328405685993037,1,99.62125444320586,0.10666420284299652,"[2.1805015800366627, 2.2579765092728246]","[1.3632739455413574, 1.3531520213482704]",30.283726466961248,,,"{0: 4, 1: 13, 2: 3, 3: 10, 4: 4, 5: 11, 6: 10, 7: 10, 8: 12, 9: 12, 10: 11, 11: 8}",15.271794507125634,58.00970596182071,False,"{'item_id': 'C123', 'weight': 0.8, 'size': 'small'}",9,0.0,"[7.092021811776802, 1.8454890652245426, 0.39750631758404875, 6.638236629757181, 5.037458401191848]",frame_17.jpg,"(-0.0010654084170908656, -0.04901056627544118, 9.8)","(-0.006547279861793485, 0.00743127837294384, 0.0)",0.0,0.0,9.25064122819503
18,2025-02-26T23:45:23.757082,3.216329031046149,9.836709689538505,1.6704649792860586,1.1542907278265067,1,99.60010015247803,0.10577145363913254,"[1.36072821878255, 1.5251934227046577]","[1.1593562602114826, 1.1712209042019537]",30.307074725742073,,,"{0: 4, 1: 13, 2: 3, 3: 10, 4: 4, 5: 11, 6: 10, 7: 10, 8: 12, 9: 12, 10: 11, 11: 8}",16.41092234812043,36.4419242858291,False,"{'item_id': 'C123', 'weight': 0.8, 'size': 'small'}",9,0.0,"[9.85940923588439, 5.625834399794605, 8.017918930304674, 5.519334103609641, 8.533383985050449]",frame_18.jpg,"(-0.048284642235638824, -0.07903005784766065, 9.8)","(-0.0040650194024529586, -0.00020502346580436592, 0.0)",0.0,0.0,9.338581725855038
19,2025-02-26T23:45:23.757082,3.1173977396445354,10.826022603554645,1.6704649792860584,0.9942471736230869,1,99.57910590530442,0.10497123586811544,"[1.6246749463439096, 1.4821043772496922]","[0.9138742849538319, 0.9562321134799102]",30.323974129400924,,,"{0: 4, 1: 13, 2: 3, 3: 10, 4: 4, 5: 11, 6: 10, 7: 10, 8: 12, 9: 12, 10: 11, 11: 8}",20.585042905744896,34.13569196629685,False,"{'item_id': 'C123', 'weight': 0.8, 'size': 'small'}",9,0.0,"[8.569967980417882, 9.27837071347643, 5.238251549960774, 2.358705988507518, 8.157033294475376]",frame_19.jpg,"(-0.03072674965271749, -0.050947024627249426, 9.8)","(-0.009941498783057355, -0.0007511160350632921, 0.0)",0.0,0.0,9.345217460963074
20,2025-02-26T23:45:23.757082,3.0025682136292744,11.974317863707256,1.6704649792860584,1.15402245408564,1,99.55795188285033,0.10577011227042821,"[1.315459752514383, 2.0309526200294687]","[1.2400925956576792, 1.073243149583766]",30.33648967128295,,,"{0: 4, 1: 13, 2: 3, 3: 10, 4: 4, 5: 11, 6: 10, 7: 10, 8: 12, 9: 12, 10: 11, 11: 8}",19.072530588117765,49.05582775805855,False,"{'item_id': 'C123', 'weight': 0.8, 'size': 'small'}",9,0.0,"[4.616984289721023, 3.0249954215748485, 1.0641153183479446, 2.3501249191060856, 0.027120577440077343]",frame_20.jpg,"(-0.037334252994309744, -0.051719138077059856, 9.8)","(0.0017827831294526305, -0.007499467245387923, 0.0)",0.0,0.0,9.420131366316022
21,2025-02-26T23:45:23.757082,3.0,12.0,1.6704649792860586,1.391599153676205,1,99.53656028369666,0.10695799576838103,"[2.413888818042555, 2.1522441440926134]","[1.4251009375282278, 1.4236111960968347]",30.3393160413972,,,"{0: 4, 1: 13, 2: 3, 3: 10, 4: 4, 5: 11, 6: 10, 7: 10, 8: 12, 9: 12, 10: 10, 11: 8}",16.486499419186888,40.031115822605116,False,"{'item_id': 'C123', 'weight': 0.8, 'size': 'small'}",9,0.0,"[2.492372590356645, 8.747786964491146, 0.4140237908464839, 7.947719215748444, 7.9992036356908836]",frame_21.jpg,"(-0.03374861405518066, 0.02378501550458105, 9.8)","(-0.0020348972047355175, 0.0016834358244526542, 0.0)",0.0,0.0,8.996452467535297
22,2025-02-26T23:45:23.757082,3.599918059870447,11.314379360148061,-0.8519663271732721,0.9110309217308181,1,99.51564925277494,0.10455515460865408,"[0.9718166809596469, 1.3375769201071843]","[0.8617296184804427, 0.824650924741194]",30.34177629954602,,,"{0: 4, 1: 13, 2: 3, 3: 10, 4: 4, 5: 11, 6: 10, 7: 10, 8: 12, 9: 12, 10: 10, 11: 8}",19.83623973300275,36.34721521657027,False,"{'item_id': 'C123', 'weight': 0.8, 'size': 'small'}",9,0.0,"[6.801898318566616, 4.151378417019233, 5.856183055677303, 6.644139619009939, 0.5411757323498279]",frame_22.jpg,"(0.04702771005151102, -0.053555155045854286, 9.8)","(0.0018932780756072947, 0.008332037338129606, 0.0)",0.0,0.0,8.984232167634328
23,2025-02-26T23:45:23.757082,4.388882427370699,10.41270579729063,-0.8519663271732721,1.198115181082806,1,99.49445113759386,0.10599057590541403,"[1.5798575838216846, 1.2044299410942683]","[1.203765046117399, 1.203074277676504]",30.344769550424566,F001,Minor sensor glitch,"{0: 4, 1: 13, 2: 3, 3: 10, 4: 4, 5: 11, 6: 10, 7: 10, 8: 12, 9: 12, 10: 10, 11: 8}",15.217143183874908,40.68890457010924,False,"{'item_id': 'C123', 'weight': 0.8, 'size': 'small'}",9,0.0,"[3.0094091943490064, 9.598549899930857, 7.788195267955005, 5.916957656641365, 6.22856074762868]",frame_23.jpg,"(-0.07529246472522462, 0.0319926120049418, 9.8)","(-0.0008094563783770554, 0.00989223838197714, 0.0)",0.0,0.0,9.08150119852367
24,2025-02-26T23:45:23.757082,5.176111809312981,9.513015075070879,-0.8519663271732721,1.195480445445063,1,99.47325565714841,0.1059774022272253,"[1.3454010351261696, 2.2076660184229633]","[1.294655717485017, 1.2953111640694377]",30.36382321454812,,,"{0: 4, 1: 13, 2: 3, 3: 10, 4: 4, 5: 11, 6: 10, 7: 10, 8: 12, 9: 12, 10: 10, 11: 8}",22.3347420894447,47.38869813837857,False,"{'item_id': 'C123', 'weight': 0.8, 'size': 'small'}",9,0.0,"[3.6561477273153162, 7.20284472472977, 4.634031119441701, 8.102636568325117, 5.192605378082124]",frame_24.jpg,"(-0.09631983222187866, 0.011452828694094613, 9.8)","(-0.0015147335752627583, -0.005509780702560632, 0.0)",0.0,0.0,9.169986834208125
25,2025-02-26T23:45:23.757082,6.0221567955162,8.546106519410056,-0.851966327173272,1.2847973667818993,1,99.45197085978164,0.10642398683390951,"[1.724673727101888, 2.403255855169333]","[1.2000841009768584, 1.2154454799535483]",30.388677537026997,,,"{0: 4, 1: 13, 2: 3, 3: 10, 4: 4, 5: 11, 6: 10, 7: 10, 8: 12, 9: 12, 10: 10, 11: 8}",18.87949009396573,46.693050827920885,False,"{'item_id': 'C123', 'weight': 0.8, 'size': 'small'}",9,0.0,"[4.197077825937542, 7.1746978274879325, 3.3936571638531596, 1.3184525624547783, 7.1502947834919475]",frame_25.jpg,"(0.010111410451249705, -0.03662959409214543, 9.8)","(0.007042627277164518, -0.009769272472141051, 0.0)",0.0,0.0,9.282714711615482
26,2025-02-26T23:45:23.757082,6.531617932685387,7.963865219788128,-0.851966327173272,0.7736637391471518,1,99.43119719604249,0.10386831869573576,"[0.9850857345319152, 1.1586971648878988]","[0.7702111746369585, 0.7681750389197781]",30.41670719535226,,,"{0: 4, 1: 13, 2: 3, 3: 10, 4: 4, 5: 11, 6: 10, 7: 10, 8: 12, 9: 12, 10: 10, 11: 8}",22.532494941233423,43.58785476112517,False,"{'item_id': 'C123', 'weight': 0.8, 'size': 'small'}",9,0.0,"[6.815631193369062, 0.5340404014305733, 1.5516997445328506, 1.7027743535540052, 3.8820536969857855]",frame_26.jpg,"(0.049183573159498006, 0.03164727346439117, 9.8)","(-0.00892102450769403, 0.008575279588713928, 0.0)",0.0,0.0,9.215726212418586
27,2025-02-26T23:45:23.757082,6.963504314218984,7.4702807837497325,-0.851966327173272,0.6558593157480679,1,99.41054133672674,0.10327929657874034,"[1.3163947386268562, 0.8369262071495683]","[0.6654971520491287, 0.6207549002563157]",30.44207356712223,,,"{0: 4, 1: 13, 2: 3, 3: 10, 4: 4, 5: 11, 6: 10, 7: 10, 8: 12, 9: 12, 10: 10, 11: 8}",23.26604857084348,53.69026295553543,False,"{'item_id': 'C123', 'weight': 0.8, 'size': 'small'}",9,0.0,"[3.946151892337965, 2.4724484221437315, 5.462986854430398, 1.3624657593170852, 4.5379396596701]",frame_27.jpg,"(-0.07651622107442556, -0.0450828472133106, 9.8)","(-0.0007750957469260956, -0.003485222082635908, 0.0)",0.0,0.0,9.115317337845623
28,2025-02-26T23:45:23.757082,7.771408750513989,6.546961427984012,-0.851966327173272,1.2268774229387276,1,99.3893144593038,0.10613438711469364,"[1.3793010713533564, 2.092170305967426]","[1.2264490787152706, 1.1730223437735643]",30.455027452298623,,,"{0: 4, 1: 13, 2: 3, 3: 10, 4: 4, 5: 11, 6: 10, 7: 10, 8: 12, 9: 12, 10: 10, 11: 8}",24.81270333577619,55.017089002093144,False,"{'item_id': 'C123', 'weight': 0.8, 'size': 'small'}",9,0.0,"[4.445311708124473, 6.028334282518012, 7.978621831214148, 7.705103899702693, 6.9254630813913565]",frame_28.jpg,"(-0.0944879753326456, 0.0690556852675285, 9.8)","(-0.0036075894743378047, 0.007628974356126536, 0.0)",0.0,0.0,9.20028047734775
29,2025-02-26T23:45:23.757082,8.5664935002319,5.638293142592113,-0.851966327173272,1.2074095461404337,1,99.36810704975767,0.10603704773070217,"[1.6901933864318002, 1.20333257362105]","[1.301234504594547, 1.1718147512961261]",30.471141781052204,,,"{0: 4, 1: 13, 2: 3, 3: 10, 4: 4, 5: 11, 6: 10, 7: 10, 8: 12, 9: 12, 10: 10, 11: 8}",16.815764238772648,45.644984706352034,False,"{'item_id': 'C123', 'weight': 0.8, 'size': 'small'}",9,0.0,"[4.407105126198266, 4.4864635047500725, 1.6641404516310632, 3.127301209222435, 1.7434822202211897]",frame_29.jpg,"(0.009435718278182459, -0.030384652243768503, 9.8)","(-0.00733268309663845, -0.0009486116244786895, 0.0)",0.0,0.0,9.273659667901823
30,2025-02-26T23:45:23.757082,9.214851375107045,4.897312714163376,-0.8519663271732717,0.9845912498225091,1,99.34712245850784,0.10492295624911255,"[1.6466774848471095, 1.5603406645201978]","[1.038551708476607, 0.9263093045248635]",30.500816482715916,,,"{0: 4, 1: 13, 2: 3, 3: 10, 4: 4, 5: 11, 6: 10, 7: 10, 8: 12, 9: 12, 10: 10, 11: 8}",15.803799191038626,32.196825845666844,False,"{'item_id': 'C123', 'weight': 0.8, 'size': 'small'}",9,0.0,"[5.225881807777175, 2.97412557719684, 3.8631627271036875, 8.015148935144957, 2.0139753935760063]",frame_30.jpg,"(0.08629591843310089, -0.03298762864304905, 9.8)","(-0.0032541194861176416, 0.006109402377912172, 0.0)",0.0,0.0,9.277204425220827
31,2025-02-26T23:45:23.757082,10.0,4.0,-0.8519663271732716,1.5819865668161939,2,99.32554047194103,0.10790993283408098,"[3.202250655662625, 2.267669817256282]","[1.6142135219061065, 1.5712902269283038]",30.51869513347149,,,"{0: 4, 1: 13, 2: 3, 3: 10, 4: 4, 5: 12, 6: 10, 7: 10, 8: 12, 9: 12, 10: 10, 11: 8}",18.31730993699275,45.78483745526148,False,"{'item_id': 'B999', 'weight': 3.4, 'size': 'medium'}",8,0.0,"[4.04377593446441, 7.94986780501732, 3.9558865538731935, 9.996401247326908, 6.596068440004007]",frame_31.jpg,"(0.04720578786368973, -0.05766427834532964, 9.8)","(-0.004908373649900475, 0.006236900880549892, 0.0)",0.0,0.0,9.333907046958217
32,2025-02-26T23:45:23.757082,9.33215591495098,4.667844085049021,2.356194490192345,0.9444741626269761,2,99.30459599777839,0.10472237081313487,"[1.7923822038929746, 1.6614487546468601]","[0.9419804912521555, 0.9782090071409569]",30.528942870337033,,,"{0: 4, 1: 13, 2: 3, 3: 10, 4: 4, 5: 12, 6: 10, 7: 10, 8: 12, 9: 12, 10: 10, 11: 8}",16.686236789060594,38.07545845010208,False,"{'item_id': 'B999', 'weight': 3.4, 'size': 'medium'}",8,0.0,"[1.3665914486947073, 4.41110058821958, 2.6707278630218534, 2.4738399200483405, 8.849088858533316]",frame_32.jpg,"(0.0179844744833781, -0.0752727492250554, 9.8)","(0.008515375598221233, 0.002540148446921702, 0.0)",0.0,0.0,9.324417681877055
33,2025-02-26T23:45:23.757082,8.926111138900655,5.073888861099345,2.356194490192345,0.5742340292211148,2,99.28402176374917,0.10287117014610558,"[0.6597308297322295, 0.8790625709775085]","[0.6031920288238095, 0.558713068471743]",30.538873686688312,,,"{0: 4, 1: 13, 2: 3, 3: 10, 4: 4, 5: 12, 6: 10, 7: 10, 8: 12, 9: 12, 10: 10, 11: 8}",22.212769108200657,38.401587646388165,False,"{'item_id': 'B999', 'weight': 3.4, 'size': 'medium'}",8,0.0,"[4.884957626409973, 8.918754059053276, 6.476598693310553, 6.437261905744366, 2.777319206860888]",frame_33.jpg,"(-0.08189439578026968, -0.09503431011728065, 9.8)","(-0.0011148019926993154, 0.009454803459251029, 0.0)",0.0,0.0,9.216878176022657
34,2025-02-26T23:45:23.757082,7.854072107236544,6.145927892763456,2.356194490192345,1.516092137972706,2,99.2625056716112,0.10758046068986353,"[2.0611149387340513, 3.012802894748799]","[1.4363474823314146, 1.5397173365022476]",30.567187864054358,,,"{0: 4, 1: 13, 2: 3, 3: 10, 4: 4, 5: 12, 6: 10, 7: 10, 8: 12, 9: 12, 10: 10, 11: 8}",21.727630895819246,50.31569132391641,False,"{'item_id': 'B999', 'weight': 3.4, 'size': 'medium'}",8,0.0,"[8.880571362861314, 4.1078631323963934, 3.529834065292535, 4.879816026443176, 2.0506886112690816]",frame_34.jpg,"(0.04206002885058602, 0.03737026365671223, 9.8)","(0.009284268007468911, 0.0075585275572134635, 0.0)",0.0,0.0,9.359126358139461
